id,EAP,HPL,MWS
id02310,0.08360009,0.12292134,0.7934786
id24541,0.008922007,0.0026961903,0.9883818
id00134,0.2506749,0.07949831,0.6698268
id27757,0.0010871544,0.99870276,0.00020996615
id04081,1.63598e-09,1.477963e-08,1.0
id27337,0.07187634,0.92801493,0.000108709486
id24265,0.9997845,0.00020190404,1.3582143e-05
id25917,0.6779733,3.8849637e-07,0.32202637
id04951,0.999691,0.0003068819,2.1485969e-06
id14549,0.07760119,0.0013466196,0.92105216
id22505,0.9999999,1.9017422e-08,7.078361e-08
id24002,0.41867977,0.039183408,0.5421368
id18982,2.97953e-09,5.181868e-09,1.0
id15181,0.00013465395,0.99982387,4.142109e-05
id21888,0.99984074,7.384638e-08,0.00015912188
id12035,0.989833,0.010114978,5.1984134e-05
id17991,0.9999578,1.4574815e-05,2.7604648e-05
id10707,0.9996681,8.332258e-07,0.00033103113
id07101,0.0031381485,0.6414632,0.35539865
id00345,0.0019870284,0.99801266,2.8717798e-07
id05912,4.1257724e-07,6.609973e-08,0.9999995
id13443,0.00039534856,0.0017018282,0.99790287
id09248,0.99868494,3.2436076e-06,0.0013118291
id17542,0.9993224,0.00063169474,4.5833098e-05
id06995,0.0012961158,0.12062885,0.878075
id25159,1.4634863e-06,2.4759063e-05,0.9999738
id25729,0.0015727554,1.9956238e-07,0.99842703
id26949,0.19375853,0.41636065,0.38988078
id27191,2.4905201e-05,0.982114,0.017861046
id07668,0.9994935,1.6448156e-07,0.0005063797
id02230,0.0073953425,0.38300937,0.6095953
id15553,1.8499588e-08,2.726187e-07,0.99999976
id25688,3.1255897e-06,0.99999666,2.3233467e-07
id17545,1.1832326e-06,0.9945127,0.0054861787
id13929,0.9761278,0.023778643,9.35544e-05
id12880,1.2839274e-07,0.9999864,1.34977545e-05
id19282,0.028280722,0.84617394,0.12554538
id14690,8.091963e-07,0.16707158,0.8329276
id17975,0.6768213,0.31905487,0.0041237804
id08037,0.002351655,0.99730206,0.0003462768
id15412,0.9999989,1.1017818e-07,1.013087e-06
id25032,0.012445421,0.98746556,8.895452e-05
id27165,2.9974157e-05,0.99996614,3.974926e-06
id03327,3.04238e-05,0.999783,0.00018664887
id18515,0.9999976,2.2508548e-06,6.172605e-08
id21003,8.485951e-08,1.5382787e-07,0.99999976
id23855,0.008144192,0.028706856,0.9631489
id20724,0.99993765,1.1158849e-05,5.1108596e-05
id13303,7.4788554e-06,0.005059043,0.9949334
id16521,1.7333402e-06,0.9682103,0.031787936
id20775,2.1664325e-06,9.396299e-05,0.9999039
id13029,0.021340383,0.0048831697,0.97377646
id14660,0.040449556,0.0005175676,0.9590329
id11028,0.9189532,0.0076556206,0.073391214
id14180,0.99999976,1.6836108e-07,7.5139205e-08
id25860,7.3775897e-07,0.9999993,5.6873155e-08
